Code,Type
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,옹(타날문)
PN_경당-196,시루(타날문)
PN_경당-196,뚜껑(타날문)
PN_경당-196,뚜껑(타날문)
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,중국도기
PN_경당-196,불명(토제품)
PN_현대-나1,대옹(난)
PN_현대-나1,완(타날문)
PN_현대-나1,완(타날문)
PN_현대-나1,파편(타날문)
PN_현대-가2,대옹(난)
PN_현대-가2,대옹(파편)
PN_현대-가2,대옹(파편)
PN_현대-가2,뚜껑(경질무문)
PN_현대-가2,호(타날문)
PN_현대-가2,호(타날문)
PN_현대-가2,호(타날문)
PN_현대-가2,호(타날문)
PN_현대-가2,호(타날문)
PN_현대-가2,호(타날문)
PN_현대-가2,호(타날문)
PN_현대-가2,발(타날문)
PN_현대-가2,발(타날문)
PN_현대-가2,발(타날문)
PN_현대-가2,장란형토기(타날문)
PN_현대-가2,완(타날문)
PN_현대-가2,완(타날문)
PN_현대-가2,완(타날문)
PN_현대-가2,뚜껑(타날문)
PN_현대-가2,뚜껑(타날문)
PN_현대-가2,파편(타날문)
PN_현대-가2,파편(타날문)
PN_현대-가2,무개반
PN_현대-가2,철도자
PN_현대-가2,삽날
PN_현대-가2,철착
PN_현대-가2,불명(철기)
PN_현대-가2,숫돌
PN_현대-가2,방추차
PN_현대-가2,어망추
PN_현대-가2,불명(토제품)
PN_현대-가2,기와류
PN_현대-가2,기와류
PN_현대-가2,기와류
PN_현대-가2,기와류
PN_현대-가2,전돌
PN_삼화-2,대옹(난)
EHGS-C,대옹(원통)
HJP-삼국,대옹(첨저)
GN-27,대옹(첨저)
GN-27,대옹(원통)
GN-27,대옹(원통)
GN-27,대옹(파편)
GN-27,대옹(파편)
GN-27,호(경질무문)
GN-27,발(경질무문)
GN-27,발(경질무문)
GN-27,발(경질무문)
GN-27,옹(경질무문)
GN-27,옹(경질무문)
GN-27,옹(경질무문)
GN-27,옹(경질무문)
GN-27,옹(경질무문)
GN-27,옹(경질무문)
GN-27,옹(경질무문)
GN-27,옹(경질무문)
GN-27,옹(경질무문)
GN-27,옹(경질무문)
GN-27,시루(경질무문)
GN-27,파편(경질무문)
GN-27,파편(경질무문)
GN-27,파편(경질무문)
GN-27,파편(경질무문)
GN-27,파편(경질무문)
GN-27,호(타날문)
GN-27,파편(타날문)
GN-27,파편(타날문)
GN-27,파편(타날문)
GN-27,파편(타날문)
GN-27,불명(석기)
GN-27,지석
GN-27,지석
GN-27,방추차
GN-27,방추차
GN-27,방추차
CS-2,대옹(원통)
CS-2,발(경질무문)
CS-2,발(경질무문)
CS-2,파편(경질무문)
CS-2,파편(경질무문)
CS-2,파편(경질무문)
CS-2,파편(경질무문)
CS-2,파편(경질무문)
CS-2,파편(타날문)
CS-2,파편(타날문)
CS-2,파편(타날문)
SC-5-2-21,대옹(첨저)
SC-5-2-21,호(타날문)
SC-5-2-21,호(타날문)
SC-5-2-21,발(타날문)
SC-5-2-21,철촉
SC-5-2-21,철촉
SC-5-2-21,철겸
SC-5-2-21,철정
SC-5-2-21,철정
SC-5-2-21,철정
SC-5-2-21,철정
SC-5-2-21,환두도
SC-5-2-21,철부
SC-5-2-21,철환
SC-5-2-21,철도
SC-5-2-21,철모
SC-5-2-21,철착
SC-5-2-21,불명(철기)
SC-5-2-21,꺾쇠
SC-5-2-21,꺾쇠
SC-5-2-21,꺾쇠
SC-5-2-21,꺾쇠
SC-5-2-21,꺾쇠
SC-5-2-21,꺾쇠
SC-5-2-21,지석
SC-5-2-21,구슬
SC-5-2-21,판비
SC-5-2-21,교구
GR-B9,대옹(첨저)
GR-B9,대옹(파편)
GR-B9,대옹(파편)
GR-B9,호(경질무문)
GR-B9,옹(경질무문)
GR-B9,옹(경질무문)
GR-B9,옹(경질무문)
GR-B9,옹(경질무문)
GR-B9,옹(경질무문)
GR-B9,뚜껑(경질무문)
GR-B9,파편(경질무문)
GR-B9,파편(경질무문)
GR-B9,파편(경질무문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,호(타날문)
GR-B9,발(타날문)
GR-B9,발(타날문)
GR-B9,발(타날문)
GR-B9,발(타날문)
GR-B9,발(타날문)
GR-B9,발(타날문)
GR-B9,발(타날문)
GR-B9,발(타날문)
GR-B9,발(타날문)
GR-B9,발(타날문)
GR-B9,발(타날문)
GR-B9,발(타날문)
GR-B9,발(타날문)
GR-B9,장란형토기(타날문)
GR-B9,시루(타날문)
GR-B9,시루(타날문)
GR-B9,배(타날문)
GR-B9,완(타날문)
GR-B9,뚜껑(타날문)
GR-B9,뚜껑(타날문)
GR-B9,뚜껑(타날문)
GR-B9,뚜껑(타날문)
GR-B9,뚜껑(타날문)
GR-B9,파편(타날문)
GR-B9,파편(타날문)
GR-B9,파편(타날문)
GR-B9,파편(타날문)
GR-B9,파편(타날문)
GR-B9,파편(타날문)
GR-B9,파편(타날문)
GR-B9,이형(타날문)
GR-B9,철도자
GR-B9,철착
GR-B9,지석
GR-B9,방추차
GR-B9,불명(토제품)
GR-B9,불명(토제품)
GR-B9,기와류
GR-B9,기와류
GR-B9,기와류
GR-B9,기와류
GR-B9,송풍관
GR-B9,송풍관
GR-B9,송풍관
GR-B9,송풍관
GR-B9,송풍관
GR-B9,송풍관
